link,topic,hook_type,format,emotional_trigger,avatar,product_fit,priority_score,evidence_quality,recommended_angle
https://www.tiktok.com/@onehealthygut/video/7633461167788166413,"food is so poweful when it comes to fixing the gut!! here’s a pretty comprehensive list of foods I started eating consistently to heal my IBS, bloating, and constipation. My hope is this video makes it really easy to see WHY each food can be helpful for different reasons. ** the bone broth I love to drink that tastes like hot chocolate is in my bi0!! #bloatingrelief #ibsrelief #bloatedstomach #bloatingtips #guthealthtips",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,25,low,Digestive Comfort Routine Check
https://www.tiktok.com/@thestomachdoc/video/7635660968009157901,"Peas are a gut-health MVP: they bring fiber that helps keep digestion moving, plus prebiotic fibers that feed your beneficial gut bacteria. They also contain resistant starch and fermentable carbs that can support a healthier microbiome. And here’s what makes them even more valuable—those fermentable fibers get broken down by your gut microbes into short-chain fatty acids like butyrate, which help nourish your gut lining, reduce inflammation, and support overall gut function. On top of that, peas provide plant-based protein and polyphenols that further support microbial diversity and metabolic health. #plantbased #healthyfood #easyrecipes #fiber",Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",24,low,Digestive Comfort Routine Check
https://www.tiktok.com/@healifyhub/video/7634309648769764639,"Fix Your Gut Fast With Simple Juice Blends Simple fruit and veggie drinks you can add to your morning routine for better hydration, digestion support, and cleaner daily nutrition. Save this so you can try one tomorrow. #nutritiontips #healthyhabits #guthealth #wellnesstips #healthydrinks",Unclear hook requiring manual review,unknown,Routine confidence,Maintainer,DH for daily digestive maintenance and routine support.,24,low,Digestive Comfort Routine Check
https://www.tiktok.com/@drjoe_md/video/7632021443202616607,"Eating a large amount of sunflower seed shells can do more than just upset your stomach. The shells are mostly made of rough, indigestible fiber, so instead of breaking down, they can clump together, dry out, and form a painful fecal impaction. On the way out, those sharp shell fragments can also scrape the rectum and anus, causing pain, bleeding, and small tears. In other words, eat the seed, not the shell. #ERdoctor #ConstipationRelief #DigestiveHealth #MedicalFacts",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,24,low,Digestive Comfort Routine Check
https://www.tiktok.com/@askdocdoc/video/7630786863220935943,Quick fix for sudden stomach pain and bloating after outside food! #digestion #stomachpain #foodpoisoningrelief #naturalremedy #healthtips #bloatingrelief #wellnesstips #instantrelief #viral #trending #reels #explorepage,Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,25,low,Digestive Comfort Routine Check
https://www.tiktok.com/@drclaylowder/video/7629457560977952031,"If your stomach’s acting up, here’s the real plan from a medical standpoint: Skip the “pink stuff” for ongoing symptoms—it may help short term, but it’s not addressing the root of the problem. For nausea, Emetrol is a solid option and often works well without being overly harsh. If you’re dealing with reflux or heartburn, medications like omeprazole or Prevacid actually reduce acid production and give your esophagus time to heal. These work best when taken consistently, not just as needed. For quick, immediate relief, Tums can still be helpful to neutralize acid in the moment. Also pay attention to triggers—late meals, caffeine, alcohol, and spicy foods are common culprits. Small changes there can make a big difference. Treat the cause, not just the symptoms. That’s how you actually start to feel better. #fyp #heart #medical #guthealth #doctor",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",25,low,Digestive Comfort Routine Check
https://www.tiktok.com/@doctorsood/video/7633871365006691597,"Have you ever tried a belly massage and noticed a difference? Belly massage follows the natural path of the colon, which is why it’s done in a clockwise motion. That gentle pressure can stimulate gut movement and trigger the body’s natural reflex to move stool along. It’s a simple, low-risk way to support bowel function, especially in mild constipation. VC: @lola_krissss Follow @doctorsoood to improve your health IQ and for similar content. #constipationrelief #guthealth #bellymassage #digestion #health",Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,DH for daily digestive maintenance and routine support.,23,low,Digestive Comfort Routine Check
https://www.tiktok.com/@christinevetick/video/7631009309169683726,like does it ever end 🥲 #stomachproblems #stomachproblemscheck #stomachproblemslol #ibs #ibstok,Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,DH for daily digestive maintenance and routine support.,23,low,Digestive Comfort Routine Check
https://www.tiktok.com/@drtoddstrong/video/7633580497142156558,Do These 4 Things Every Morning and Watch Your Gut Start to Heal #gut #leakygut #nutrition #diabetes #guthealth,Unclear hook requiring manual review,unknown,Routine confidence,Maintainer,DH for daily digestive maintenance and routine support.,21,low,Digestive Comfort Routine Check
https://www.tiktok.com/@doctorsood/video/7634984620081155342,"Have you ever known someone who went this long without a bowel movement? Going three weeks without a bowel movement is considered obstipation, a severe form of constipation where the colon stops moving stool effectively. At this stage, the risk of fecal impaction, abdominal swelling, and liquid stool leaking around a blockage increases significantly. Constipation this severe always requires urgent medical evaluation. PMID: 30020663, 32809443 VC: @pana4president Follow @doctorsoood to improve your health IQ and for similar content. #constipation #guthealth #medical #health #constipationrelief",Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,DH for daily digestive maintenance and routine support.,21,low,Digestive Comfort Routine Check
