link,topic,hook_type,format,emotional_trigger,avatar,product_fit,priority_score,evidence_quality,recommended_angle
https://www.tiktok.com/@nonnarosaremedies/video/7635800388498623746,"Stop the acid reflux in one night. No pills, no diet changes. One shot before bed, three ingredients, done. 🍶 Apple cider vinegar 🌱 Ginger 🍯 Honey Comment YES if you are going to try this! And please friends, follow for more recipes! #NaturalRemedies #AcidReflux #DigestiveHealth #recipes #remedy",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",25,low,
https://www.tiktok.com/@onehealthygut/video/7633461167788166413,"food is so poweful when it comes to fixing the gut!! here’s a pretty comprehensive list of foods I started eating consistently to heal my IBS, bloating, and constipation. My hope is this video makes it really easy to see WHY each food can be helpful for different reasons. ** the bone broth I love to drink that tastes like hot chocolate is in my bi0!! #bloatingrelief #ibsrelief #bloatedstomach #bloatingtips #guthealthtips",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,25,low,
https://www.tiktok.com/@thestomachdoc/video/7635660968009157901,"Peas are a gut-health MVP: they bring fiber that helps keep digestion moving, plus prebiotic fibers that feed your beneficial gut bacteria. They also contain resistant starch and fermentable carbs that can support a healthier microbiome. And here’s what makes them even more valuable—those fermentable fibers get broken down by your gut microbes into short-chain fatty acids like butyrate, which help nourish your gut lining, reduce inflammation, and support overall gut function. On top of that, peas provide plant-based protein and polyphenols that further support microbial diversity and metabolic health. #plantbased #healthyfood #easyrecipes #fiber",Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",24,low,
https://www.tiktok.com/@dr_kevin_reese/video/7634979445400407309,Are you dealing with acid reflux? GERD? Some of you asked for longer videos… let’s dive in. Show love and share this knowledge. #drreese,Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",23,low,
https://www.tiktok.com/@doc.tori.fit/video/7636207799072066829,💩💩🧬 9 Fascinating Facts About Your Gut💩💩💩 Interesting gut facts: • Your intestines have their own nervous system • Your gut can “taste” nutrients • Trillions of microbes help regulate digestion and metabolism • Electrical pacemaker cells coordinate movement through the GI tract • Disorders like IBS are incredibly common worldwide The gut is one of the most complex organ systems in medicine — and we’re still learning more about it every year. #boise #doctorsoftiktok #colonoscopy #guttok #guthealth,Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,DH for daily digestive maintenance and routine support.,24,low,
https://www.tiktok.com/@healifyhub/video/7634309648769764639,"Fix Your Gut Fast With Simple Juice Blends Simple fruit and veggie drinks you can add to your morning routine for better hydration, digestion support, and cleaner daily nutrition. Save this so you can try one tomorrow. #nutritiontips #healthyhabits #guthealth #wellnesstips #healthydrinks",Unclear hook requiring manual review,unknown,Routine confidence,Maintainer,DH for daily digestive maintenance and routine support.,24,low,
https://www.tiktok.com/@askdocdoc/video/7630786863220935943,Quick fix for sudden stomach pain and bloating after outside food! #digestion #stomachpain #foodpoisoningrelief #naturalremedy #healthtips #bloatingrelief #wellnesstips #instantrelief #viral #trending #reels #explorepage,Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,25,low,
https://www.tiktok.com/@thestomachdoc/video/7633094102338391309,Doctors tips to help with acid reflux and heartburn #refluxdiet #gerd #gastritis #heartburn #acidreflux,Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,"DR for faster relief moments around reflux, heartburn, or gastric discomfort.",24,low,
https://www.tiktok.com/@clairethenutritionist/video/7633926727030377742,everyone 💩s but not everyone knows if they’re “regular” #nutritionistsoftiktok #guthealth #nutritiontips #digestiontips #holistichealth,Unclear hook requiring manual review,unknown,Digestive-health curiosity,Maintainer,DH for daily digestive maintenance and routine support.,23,low,
https://www.tiktok.com/@thestomachdoc/video/7636841316634168589,"If your poop feels sharp, you could have something called an anal fissure — which is a small cut in your anal canal — or possibly a painful hemorrhoid. And when that happens, the goal is simple: You need to make your poop softer, smoother, and easier to pass. That usually means treating constipation, and increasing both types of fiber: Soluble fiber pulls water into the stool and helps create a softer, gel-like poop that is easier to pass. Good examples include oats, chia seeds, psyllium husk, beans, lentils, apples, and berries. Insoluble fiber adds bulk and helps move stool through the gut more efficiently. You’ll find it in vegetables, whole grains, bran, nuts, seeds, and leafy greens. If your stool is hard, dry, or painful, pushing harder can make hemorrhoids worse and keep an anal fissure from healing. So if you’re dealing with sharp poop pain, don’t ignore it. Start by softening the stool, increasing fiber slowly, drinking enough water, and get checked if there’s bleeding, severe pain, or symptoms that don’t improve. Save this if you struggle with constipation, hemorrhoids, or painful poop. #poop #constipation #fiber #hemorrhoids",Unclear hook requiring manual review,unknown,Digestive discomfort relief,The Sufferer,DH for daily digestive maintenance and routine support.,21,low,
